Request Path,,Target Path,,Options,Action
/build-your-own-engagement-ring.html,build-your-own-engagement-ring.html,rings/engagement/halo/,http://www.diamondmansion.com/rings/engagement/halo/,RP,Edit
/build-your-own-engagement-ring/,build-your-own-engagement-ring/,rings/engagement/halo/,http://www.diamondmansion.com/rings/engagement/halo/,RP,Edit
/build-your-own-engagement-ring,build-your-own-engagement-ring,rings/engagement/halo/,http://www.diamondmansion.com/rings/engagement/halo/,RP,Edit
/split-shank-wedding-sets.html,split-shank-wedding-sets.html,rings/engagement/bridal-set/split-shank/,http://www.diamondmansion.com/rings/engagement/bridal-set/split-shank/,RP,Edit
/split-shank-wedding-sets/,split-shank-wedding-sets/,rings/engagement/bridal-set/split-shank/,http://www.diamondmansion.com/rings/engagement/bridal-set/split-shank/,RP,Edit
/split-shank-wedding-sets,split-shank-wedding-sets,rings/engagement/bridal-set/split-shank/,http://www.diamondmansion.com/rings/engagement/bridal-set/split-shank/,RP,Edit
/fancy-yellow-diamond-eternity-band.html,fancy-yellow-diamond-eternity-band.html,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/fancy-yellow-diamond-eternity-band/,fancy-yellow-diamond-eternity-band/,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/fancy-yellow-diamond-eternity-band,fancy-yellow-diamond-eternity-band,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/cushion-cut-wedding-sets.html,cushion-cut-wedding-sets.html,rings/engagement/bridal-set/cushion/,http://www.diamondmansion.com/rings/engagement/bridal-set/cushion/,RP,Edit
/cushion-cut-wedding-sets/,cushion-cut-wedding-sets/,rings/engagement/bridal-set/cushion/,http://www.diamondmansion.com/rings/engagement/bridal-set/cushion/,RP,Edit
/cushion-cut-wedding-sets,cushion-cut-wedding-sets,rings/engagement/bridal-set/cushion/,http://www.diamondmansion.com/rings/engagement/bridal-set/cushion/,RP,Edit
/3-stone-wedding-sets.html,3-stone-wedding-sets.html,rings/engagement/bridal-set/three-stone/,http://www.diamondmansion.com/rings/engagement/bridal-set/three-stone/,RP,Edit
/3-stone-wedding-sets/,3-stone-wedding-sets/,rings/engagement/bridal-set/three-stone/,http://www.diamondmansion.com/rings/engagement/bridal-set/three-stone/,RP,Edit
/3-stone-wedding-sets,3-stone-wedding-sets,rings/engagement/bridal-set/three-stone/,http://www.diamondmansion.com/rings/engagement/bridal-set/three-stone/,RP,Edit
/pave-diamond-rings.html,pave-diamond-rings.html,rings/engagement/diamond/pave/,http://www.diamondmansion.com/rings/engagement/diamond/pave/,RP,Edit
/pave-diamond-rings/,pave-diamond-rings/,rings/engagement/diamond/pave/,http://www.diamondmansion.com/rings/engagement/diamond/pave/,RP,Edit
/pave-diamond-rings,pave-diamond-rings,rings/engagement/diamond/pave/,http://www.diamondmansion.com/rings/engagement/diamond/pave/,RP,Edit
/emerald-cut-wedding-sets.html,emerald-cut-wedding-sets.html,rings/engagement/bridal-set/emerald/,http://www.diamondmansion.com/rings/engagement/bridal-set/emerald/,RP,Edit
/emerald-cut-wedding-sets/,emerald-cut-wedding-sets/,rings/engagement/bridal-set/emerald/,http://www.diamondmansion.com/rings/engagement/bridal-set/emerald/,RP,Edit
/emerald-cut-wedding-sets,emerald-cut-wedding-sets,rings/engagement/bridal-set/emerald/,http://www.diamondmansion.com/rings/engagement/bridal-set/emerald/,RP,Edit
/emerald-cut-eternity-bands.html,emerald-cut-eternity-bands.html,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/emerald-cut-eternity-bands/,emerald-cut-eternity-bands/,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/emerald-cut-eternity-bands,emerald-cut-eternity-bands,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/princess-cut-wedding-sets.html,princess-cut-wedding-sets.html,rings/engagement/bridal-set/princess/,http://www.diamondmansion.com/rings/engagement/bridal-set/princess/,RP,Edit
/princess-cut-wedding-sets/,princess-cut-wedding-sets/,rings/engagement/bridal-set/princess/,http://www.diamondmansion.com/rings/engagement/bridal-set/princess/,RP,Edit
/princess-cut-wedding-sets,princess-cut-wedding-sets,rings/engagement/bridal-set/princess/,http://www.diamondmansion.com/rings/engagement/bridal-set/princess/,RP,Edit
/jewelry-stores-in-los-angeles.html,jewelry-stores-in-los-angeles.html,los-angeles-engagement-rings/,http://www.diamondmansion.com/los-angeles-engagement-rings/,RP,Edit
/jewelry-stores-in-los-angeles/,jewelry-stores-in-los-angeles/,los-angeles-engagement-rings/,http://www.diamondmansion.com/los-angeles-engagement-rings/,RP,Edit
/jewelry-stores-in-los-angeles,jewelry-stores-in-los-angeles,los-angeles-engagement-rings/,http://www.diamondmansion.com/los-angeles-engagement-rings/,RP,Edit
/diamond-eternity-rings.html,diamond-eternity-rings.html,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/diamond-eternity-rings/,diamond-eternity-rings/,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/diamond-eternity-rings,diamond-eternity-rings,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/vintage-wedding-sets/,vintage-wedding-sets/,rings/engagement/bridal-set/vintage/,http://www.diamondmansion.com/rings/engagement/bridal-set/vintage/,RP,Edit
/vintage-wedding-sets,vintage-wedding-sets,rings/engagement/bridal-set/vintage/,http://www.diamondmansion.com/rings/engagement/bridal-set/vintage/,RP,Edit
/vintage-wedding-sets.html,vintage-wedding-sets.html,rings/engagement/bridal-set/vintage/,http://www.diamondmansion.com/rings/engagement/bridal-set/vintage/,RP,Edit
/princess-cut-eternity-bands.html,princess-cut-eternity-bands.html,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/princess-cut-eternity-bands/,princess-cut-eternity-bands/,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/princess-cut-eternity-bands,princess-cut-eternity-bands,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/los-angeles-engagement-rings.html,los-angeles-engagement-rings.html,los-angeles-engagement-rings/,http://www.diamondmansion.com/los-angeles-engagement-rings/,RP,Edit
/jewelry-designers-los-angeles/,jewelry-designers-los-angeles/,los-angeles-engagement-rings/,http://www.diamondmansion.com/los-angeles-engagement-rings/,RP,Edit
/jewelry-designers-los-angeles.html,jewelry-designers-los-angeles.html,los-angeles-engagement-rings/,http://www.diamondmansion.com/los-angeles-engagement-rings/,RP,Edit
/jewelry-designers-los-angeles,jewelry-designers-los-angeles,los-angeles-engagement-rings/,http://www.diamondmansion.com/los-angeles-engagement-rings/,RP,Edit
/diamonds-los-angeles.html,diamonds-los-angeles.html,los-angeles-engagement-rings/,http://www.diamondmansion.com/los-angeles-engagement-rings/,RP,Edit
/diamonds-los-angeles/,diamonds-los-angeles/,los-angeles-engagement-rings/,http://www.diamondmansion.com/los-angeles-engagement-rings/,RP,Edit
/diamonds-los-angeles,diamonds-los-angeles,los-angeles-engagement-rings/,http://www.diamondmansion.com/los-angeles-engagement-rings/,RP,Edit
/designer-engagement-rings.html,designer-engagement-rings.html,rings/engagement/halo/,http://www.diamondmansion.com/rings/engagement/halo/,RP,Edit
/designer-engagement-rings/,designer-engagement-rings/,rings/engagement/halo/,http://www.diamondmansion.com/rings/engagement/halo/,RP,Edit
/designer-engagement-rings,designer-engagement-rings,rings/engagement/halo/,http://www.diamondmansion.com/rings/engagement/halo/,RP,Edit
/halo-engagement-ring.html,halo-engagement-ring.html,rings/engagement/halo/,http://www.diamondmansion.com/rings/engagement/halo/,RP,Edit
/halo-engagement-ring/,halo-engagement-ring/,rings/engagement/halo/,http://www.diamondmansion.com/rings/engagement/halo/,RP,Edit
/halo-engagement-ring,halo-engagement-ring,rings/engagement/halo/,http://www.diamondmansion.com/rings/engagement/halo/,RP,Edit
/halo-diamond-ring.html,halo-diamond-ring.html,rings/engagement/diamond/halo/,http://www.diamondmansion.com/rings/engagement/diamond/halo/,RP,Edit
/halo-diamond-ring/,halo-diamond-ring/,rings/engagement/diamond/halo/,http://www.diamondmansion.com/rings/engagement/diamond/halo/,RP,Edit
/halo-diamond-ring,halo-diamond-ring,rings/engagement/diamond/halo/,http://www.diamondmansion.com/rings/engagement/diamond/halo/,RP,Edit
/bridal-ring-sets.html,bridal-ring-sets.html,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/bridal-ring-sets/,bridal-ring-sets/,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/bridal-ring-sets,bridal-ring-sets,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/design-engagement-ring.html,design-engagement-ring.html,rings/engagement/halo/,http://www.diamondmansion.com/rings/engagement/halo/,RP,Edit
/design-engagement-ring/,design-engagement-ring/,rings/engagement/halo/,http://www.diamondmansion.com/rings/engagement/halo/,RP,Edit
/design-engagement-ring,design-engagement-ring,rings/engagement/halo/,http://www.diamondmansion.com/rings/engagement/halo/,RP,Edit
/engagement-rings-los-angeles.html,engagement-rings-los-angeles.html,los-angeles-engagement-rings/,http://www.diamondmansion.com/los-angeles-engagement-rings/,RP,Edit
/engagement-rings-los-angeles,engagement-rings-los-angeles,los-angeles-engagement-rings,http://www.diamondmansion.com/los-angeles-engagement-rings,RP,Edit
/engagement-rings-los-angeles/,engagement-rings-los-angeles/,los-angeles-engagement-rings,http://www.diamondmansion.com/los-angeles-engagement-rings,RP,Edit
/diamond-wedding-rings.html,diamond-wedding-rings.html,rings/wedding/,http://www.diamondmansion.com/rings/wedding/,RP,Edit
/diamond-wedding-rings/,diamond-wedding-rings/,rings/wedding/,http://www.diamondmansion.com/rings/wedding/,RP,Edit
/diamond-wedding-rings,diamond-wedding-rings,rings/wedding/,http://www.diamondmansion.com/rings/wedding/,RP,Edit
/wedding-sets.html,wedding-sets.html,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/wedding-sets/,wedding-sets/,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/wedding-sets,wedding-sets,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/wedding-rings-sets.html,wedding-rings-sets.html,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/wedding-rings-sets/,wedding-rings-sets/,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/wedding-rings-sets,wedding-rings-sets,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/modern-engagement-rings.html,modern-engagement-rings.html,rings/engagement/modern/,http://www.diamondmansion.com/rings/engagement/modern/,RP,Edit
/modern-engagement-rings/,modern-engagement-rings/,rings/engagement/modern/,http://www.diamondmansion.com/rings/engagement/modern/,RP,Edit
/modern-engagement-rings,modern-engagement-rings,rings/engagement/modern/,http://www.diamondmansion.com/rings/engagement/modern/,RP,Edit
/engagement-ring-sets.html,engagement-ring-sets.html,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/engagement-ring-sets/,engagement-ring-sets/,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/engagement-ring-sets,engagement-ring-sets,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/custom-engagement-rings/,custom-engagement-rings/,customer-service?sel_cms=6,http://www.diamondmansion.com/customer-service?sel_cms=6,RP,Edit
/custom-engagement-rings,custom-engagement-rings,customer-service?sel_cms=6,http://www.diamondmansion.com/customer-service?sel_cms=6,RP,Edit
/bridal-sets.html,bridal-sets.html,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/bridal-sets/,bridal-sets/,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/bridal-sets,bridal-sets,rings/engagement/bridal-set/,http://www.diamondmansion.com/rings/engagement/bridal-set/,RP,Edit
/princess-cut-eternity-rings/,princess-cut-eternity-rings/,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/princess-cut-eternity-rings.html,princess-cut-eternity-rings.html,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/princess-cut-eternity-rings,princess-cut-eternity-rings,rings/wedding/her-eternity/,http://www.diamondmansion.com/rings/wedding/her-eternity/,RP,Edit
/split-shank-halo-engagement-rings.html,split-shank-halo-engagement-rings.html,rings/engagement/split-shank/,http://www.diamondmansion.com/rings/engagement/split-shank/,RP,Edit
/split-shank-halo-engagement-rings/,split-shank-halo-engagement-rings/,rings/engagement/split-shank/,http://www.diamondmansion.com/rings/engagement/split-shank/,RP,Edit
/split-shank-halo-engagement-rings,split-shank-halo-engagement-rings,rings/engagement/split-shank/,http://www.diamondmansion.com/rings/engagement/split-shank/,RP,Edit
/vintage-halo-engagement-rings.html,vintage-halo-engagement-rings.html,rings/engagement/vintage/halo/,http://www.diamondmansion.com/rings/engagement/vintage/halo/,RP,Edit
/vintage-halo-engagement-rings/,vintage-halo-engagement-rings/,rings/engagement/vintage/halo/,http://www.diamondmansion.com/rings/engagement/vintage/halo/,RP,Edit
/vintage-halo-engagement-rings,vintage-halo-engagement-rings,rings/engagement/vintage/halo/,http://www.diamondmansion.com/rings/engagement/vintage/halo/,,
/cushion-cut-engagement-rings/,cushion-cut-engagement-rings/,rings/engagement/cushion/,http://www.diamondmansion.com/rings/engagement/cushion/,RP,Edit
/cushion-cut-engagement-rings,cushion-cut-engagement-rings,rings/engagement/cushion/,http://www.diamondmansion.com/rings/engagement/cushion/,,
/emerald-cut-0-60-ct-4-prong-3-stone-with-emerald-cut-sides-diamonds-engagement-ring/,emerald-cut-0-60-ct-4-prong-3-stone-with-emerald-cut-sides-diamonds-engagement-ring,emerald-cut-0-60-ct-4-prong-3-stone-with-emerald-cut-sides-diamonds-engagement-ring/,http://www.diamondmansion.com/0-60-ct-4-prong-3-stone-with-emerald-cut-sides-diamonds-engagement-ring/,,